,Part,Text,Senticnet,PyFeel
0,e_14,Athènè,,positivity
1,e_25,"– Princes et chefs des Phaiakiens, allez à l'agora, afin d'entendre l'étranger qui est arrivé récemment dans la demeure du sage Alkinoos, après avoir erré sur la mer. Il est semblable aux immortels.",ecstasy,positivity
2,Joy,"Princes et chefs des Phaiakiens, allez à l'agora, afin d'entendre l'étranger qui est arrivé récemment dans la demeure du sage Alkinoos, après avoir erré sur la mer",ecstasy,positivity
3,e_14,Alkinoos,,positivity
4,e_25,"– Écoutez-moi, princes et chefs des Phaiakiens, afin que je dise ce que mon coeur m'inspire dans ma poitrine. Je ne sais qui est cet étranger errant qui est venu dans ma demeure, soit du milieu des hommes qui sont du côté d'Éôs, soit de ceux qui habitent du côté de Hespéros. Il nous demande d'aider à son prompt retour. Nous le reconduirons, comme cela est déjà arrivé pour d'autres ; car aucun homme entré dans ma demeure n'a jamais pleuré longtemps ici, désirant son retour. Allons ! tirons à la mer divine une nef noire et neuve, et que cinquante-deux jeunes hommes soient choisis dans le peuple parmi les meilleurs de tous. Liez donc à leurs bancs les avirons de la nef, et préparons promptement dans ma demeure un repas que je vous offre. Les jeunes hommes accompliront mes ordres, et vous tous, rois porteurs de sceptres, venez dans ma belle demeure, afin que nous honorions notre hôte dans la maison royale. Que nul ne refuse, et appelez le divin aoide Dèmodokos, car un dieu lui a donné le chant admirable qui charme, quand son âme le pousse à chanter.",ecstasy,positivity
5,Joy,"Nous le reconduirons, comme cela est déjà arrivé pour d'autres ; car aucun homme entré dans ma demeure n'a jamais pleuré longtemps ici, désirant son retour. Allons ! tirons à la mer divine une nef noire et neuve, et que cinquante-deux jeunes hommes soient choisis dans le peuple parmi les meilleurs de tous.",ecstasy,positivity
6,e_14,Alkinoos,,positivity
7,e_25,"– Écoutez-moi, princes et chefs des Phaiakiens. Déjà nous avons satisfait notre âme par ce repas et par les sons de la kithare qui sont la joie des repas. Maintenant, sortons, et livrons-nous à tous les jeux, afin que notre hôte raconte à ses amis, quand il sera retourné dans sa patrie, combien nous l'emportons sur les autres hommes au combat des poings, à la lutte, au saut et à la course.",terror,positivity
8,Joy,éjà nous avons satisfait notre âme par ce repas et par les sons de la kithare qui sont la joie des repas,grief,positivity
9,e_14,Laodamas,,positivity
10,e_25,"– Allons, amis, demandons à notre hôte s'il sait aussi combattre. Certes, il ne semble point sans courage. Il a des cuisses et des bras et un cou très vigoureux, et il est encore jeune, bien qu'il ait été affaibli par beaucoup de malheurs ; car je pense qu'il n'est rien de pire que la mer pour épuiser un homme, quelque vigoureux qu'il soit.",ecstasy,positivity
11,Calmness,"Certes, il ne semble point sans courage. Il a des cuisses et des bras et un cou très vigoureux, et il est encore jeune, bien qu'il ait été affaibli par beaucoup de malheurs",ecstasy,positivity
12,e_14,Euryalos,,positivity
13,e_25,"– Laodamas, tu as bien parlé. Maintenant, va, provoque-le, et rapporte-lui nos paroles.",ecstasy,positivity
14,e_25,"– Allons, hôte, mon père, viens tenter nos jeux, si tu y es exercé comme il convient que tu le sois. Il n'y a point de plus grande gloire pour les hommes que celle d'être brave par les pieds et par les bras. Viens donc, et chasse la tristesse de ton âme. Ton retour n'en subira pas un long retard, car déjà ta nef est traînée à la mer et tes compagnons sont prêts à partir.",ecstasy,positivity
15,Calmness,"Viens donc, et chasse la tristesse de ton âme. Ton retour n'en subira pas un long retard, car déjà ta nef est traînée à la mer et tes compagnons sont prêts à partir",terror,positivity
