,TagTog,Text
0,Joy,"Princes et chefs des Phaiakiens, allez à l'agora, afin d'entendre l'étranger qui est arrivé récemment dans la demeure du sage Alkinoos, après avoir erré sur la mer"
1,Joy,"Nous le reconduirons, comme cela est déjà arrivé pour d'autres ; car aucun homme entré dans ma demeure n'a jamais pleuré longtemps ici, désirant son retour. Allons ! tirons à la mer divine une nef noire et neuve, et que cinquante-deux jeunes hommes soient choisis dans le peuple parmi les meilleurs de tous."
2,Joy,éjà nous avons satisfait notre âme par ce repas et par les sons de la kithare qui sont la joie des repas
3,Calmness,"Certes, il ne semble point sans courage. Il a des cuisses et des bras et un cou très vigoureux, et il est encore jeune, bien qu'il ait été affaibli par beaucoup de malheurs"
4,Calmness,"Viens donc, et chasse la tristesse de ton âme. Ton retour n'en subira pas un long retard, car déjà ta nef est traînée à la mer et tes compagnons sont prêts à partir"
5,Sadness,"Les douleurs remplissent mon âme plus que le désir des jeux. J'ai déjà subi beaucoup de maux et supporté beaucoup de travaux, et maintenant, assis dans votre agora, j'implore mon retour, priant le roi et tout le peuple."
6,Angry,"u parais, mon hôte, ignorer tous les jeux où s'exercent les hommes, et tu ressembles à un chef de matelots marchands qui, sur une nef de charge, n'a souci que de gain et de provisions, plutôt qu'à un athlète"
7,Angry,tu as irrité mon coeur dans ma chère poitrine
8,Sadness,"Maintenant, je suis accablé de misères et de douleurs, ayant subi de nombreux combats parmi les hommes ou en traversant les flots dangereux"
9,Angry,et tu m'as irrité par ce discours
10,Calmness,"Aie donc confiance, car aucun des Phaiakiens n'atteindra là, loin de te dépasser"
11,Joy,Mon âme et mon coeur m'excitent à tenter tous les autres combat
12,Calmness,Mais je pense être maintenant le plus habile de tous les mortels qui se nourrissent de pain sur la terre
13,Fear,"Seulement, je crains qu'un des Phaiakiens me surpasse à la course"
14,Joy,"Mon hôte, tes paroles me plaisent"
15,Disgust,"Père Zeus, et vous, dieux heureux qui vivez toujours, venez voir des choses honteuses et intolérables"
16,Sadness,"Certes, en les voyant sur ce lit, je suis plein de douleur"
17,Joy,L'admiration me saisit en les regardan
18,Calmness,Notre hôte me semble plein de sagesse
19,Joy,"Et, aussitôt, nous apporterons tous ensemble ces présents, afin que notre hôte, les possédant, siège au repas, l'âme pleine de joie"
20,Calmness,"j'apaiserai notre hôte, comme tu me l'ordonnes"
21,Calmness,"Que les dieux t'accordent de retourner dans ta patrie et de revoir ta femme,"
22,Calmness,que tu me donnes en m'apaisant par tes paroles
23,Joy,"et qu'il se réjouisse du repas, en écoutant le chant de l'aoide."
24,Joy,"Plaise aux dieux, quand tu seras dans la terre de la patrie"
25,Joy,"e t'adresserai des voeux tous les jours de ma vie, car tu m'as sauvé, ô vierge"
26,Calmness,Les aoides sont dignes d'honneur et de respect parmi tous les hommes terrestres
27,Sadness,"Tu as admirablement chanté la destinée des Akhaiens, et tous les maux qu'ils ont endurés, et toutes les fatigues qu'ils ont subies"
28,Calmness,Nous avons préparé le retour de notre hôte vénérable et des présents amis que nous lui avons offerts parce que nous l'aimons
29,Calmness,"Ce sera comme il plaira au dieu."""
30,Calmness,"Il me semble plein de justice. Que Zeus soit propice à son dessein, quel qu'il soit"
31,Sadness,car une grande douleur m'accable
32,Sadness,"du double malheur tombé sur ma demeure ; car, d'une part, j'ai perdu mon père irréprochable, qui autrefois vous commandait, et qui, pour vous aussi, était doux comme un père ; et, d'un autre côté, voici maintenant, – et c'est un mal pire qui détruira bientôt ma demeure et dévorera tous mes biens, – que des prétendants assiègent ma mère contre sa volonté"
33,Sadness,"Et ils envahissent tous les jours notre demeure, tuant mes boeufs, mes brebis et mes chèvres grasses, et ils en font des repas magnifiques, et ils boivent mon vin noir effrontément et dévorent tout. Il n'y a point ici un homme tel qu'Odysseus qui puisse repousser cette ruine loin de ma demeure, et je ne puis rien"
34,Sadness,et ma maison périt honteusement.
35,Angry,"""Indignez-vous donc, vous-mêmes. Craignez les peuples voisins qui habitent autour d'Ithakè, et la colère des dieux qui puniront ces actions iniques"
36,Sadness,et laissez-moi subir au moins ma douleur dans la solitude
37,Angry,"et si, pour venger leurs maux, vous les excitez contre moi,"
38,Disgust,"Tèlémakhos, agorète orgueilleux et plein de colère, tu as parlé en nous outrageant, et tu veux nous couvrir d'une tache honteuse."
39,Joy,"Elle parla ainsi, et notre coeur généreux fut aussitôt persuadé"
40,Sadness,"J'ai déjà subi beaucoup de maux à cause de mon père, et les dieux m'en enverront d'autres après que ma mère, en quittant ma demeure, aura supplié les odieuses Érinnyes, et ce sont les hommes qui la vengeront."
41,Angry,"Mais s'il vous semble meilleur et plus équitable de dévorer impunément la subsistance d'un seul homme, faites"
42,Angry,"tu pousses ce jeune homme à la colère,"
43,Angry,"et nous t'infligerons, ô vieillard, une amende que tu déploreras dans ton coeur, la supportant avec peine ; et ta douleur sera accablante"
44,Calmness,"car nous ne craignons personne, ni, certes, Tèlémakhos, bien qu'il parle beaucoup ; et nous n'avons nul souci, ô Vieillard, de tes vaines prédictions, et tu ne nous en seras que plus odieux"
45,Sadness,"Si j'entends dire qu'il est mort et ne doit plus reparaître, je reviendrai dans la chère terre de la patrie, je lui élèverai un tombeau, je célébrerai d'illustres funérailles, telles qu'il convient, et je donnerai ma mère à un mar"
46,Fear,"Craignez qu'un roi porte-sceptre ne soit plus jamais ni bienveillant, ni doux, et qu'il ne médite plus de bonnes actions dans son esprit, mais qu'il soit cruel désormais"
47,Angry,"Maintenant, c'est contre tout le peuple que je m'irrite, contre vous qui restez assis en foule et qui n'osez point parler, ni réprimer les prétendants peu nombreux, bien que vous soyez une multitude"
48,Angry,"Mentôr, injurieux et stupide, qu'as-tu dit ? Tu nous exhortes à nous retirer !"
49,Disgust,"Tu n'as donc point bien parlé. Allons ! dispersons-nous, et que chacun retourne à ses travaux"
50,Angry,"Et voici que les Akhaiens m'en empêchent, et surtout les orgueilleux prétendants"
51,Calmness,"Si tu n'étais le fils d'Odysseus et de Pènélopéia, je n'espérerais pas que tu pusses accomplir ce que tu entreprends, car peu de fils sont semblables à leur père"
52,Calmness,"Mais tu ne seras ni un lâche, ni un insensé, puisque l'intelligence d'Odysseus est restée en toi, et tu dois espérer accomplir ton dessein"
53,Angry,"Tèlémakhos, agorète orgueilleux et plein de colère,"
54,Calmness,Mange et bois en paix comme auparavant
55,Angry,"Antinoos, il ne m'est plus permis de m'asseoir au festin et de me réjouir en paix avec vous, orgueilleux"
56,Angry,"N'est-ce pas assez, prétendants, que vous ayez déjà dévoré mes meilleures richesses, tandis que j'étais enfant ?"
57,Angry,et la colère a grandi dans mon coeur.
58,Fear,"Et les prétendants te tendront aussitôt des pièges, et tu périras par ruse, et ils partageront tes biens. Reste donc ici auprès des tiens !"
59,Calmness,"Rassure-toi, nourrice ; ce dessein n'est point sans l'avis d'un dieu."
60,Fear,de peur qu'en pleurant elle blesse son beau corps
61,Joy,"Tèlémakhos, déjà tes compagnons aux belles knèmides sont assis, l'aviron aux mains, prêts à servir ton ardeur"
62,Angry,"Rustres stupides, qui ne pensez qu'au jour le jour, pourquoi pleurez-vous, misérables, et remuez-vous ainsi dans sa poitrine l'âme de cette femme qui est en proie à la douleur, depuis qu'elle a perdu son cher mari"
63,Angry,"angez en silence, ou' allez pleurer dehors et laissez ici cet arc."
64,Joy,Et voici que je ris et que je me réjouis dans mon esprit insensé
65,Joy,"Allons ! vous qui m'êtes supérieurs par la force, essayez cet arc et terminons cette épreuve"
66,Angry,"Elle est mauvaise et funeste, et je suis irrité de l'avoir entendue"
67,Angry,"Cet arc doit priver de leur coeur et de leur âme beaucoup de braves guerriers, parce que tu n'as pu le tendre !"
68,Sadness,"Plût aux dieux que ce héros revînt et qu'un dieu le ramenât, tu saurais alors à qui appartiendraient ma force et mes bras !"
69,Calmness,"Je suis Odysseus. Après avoir souffert des maux innombrables, je reviens dans la vingtième année sur la terre de la patrie"
70,Sadness,"je ressens une grande douleur pour moi et pour tous. Je ne gémis pas seulement à cause de mes noces, bien que j'en sois attristé"
71,Joy,"Allons ! que celui qui verse le vin emplisse les coupes, afin que nous fassions des libations, après avoir déposé cet arc"
72,Calmness,"Laissez maintenant cet arc, et remettez le reste aux dieux"
73,Angry,"Ah ! misérable étranger, ne te reste-t-il plus le moindre sens ? Ne te plaît-il plus de prendre tranquillement ton repas à nos tables ? Es-tu privé de nourriture ? N'entends-tu pas nos paroles ? Jamais aucun autre étranger ou mendiant ne nous a écoutés ainsi"
74,Angry,"Et, l'esprit égaré, il s'en alla, emportant son supplice et son coeur furieux"
75,Angry,e te prédis un châtiment aussi grand si tu tends cet arc
76,Calmness,"Antinoos, il n'est ni bon ni juste d'outrager les hôtes de Tèlémakhos, quel que soit celui qui entre dans ses demeures"
77,Fear,mais nous craignons la rumeur des hommes et des femmes
78,Calmness,"Cet étranger est grand et fort, et il se glorifie d'être d'une bonne race. Donnez-lui donc l'arc d'Odysseus, afin que nous voyions ce qu'il en fera"
79,Angry,"Où portes-tu cet arc, immonde porcher ? vagabond !"
80,Angry,"Père ! porte promptement l'arc plus loin, et n'obéis pas à tout le monde, de peur que, bien que plus jeune que toi, je te chasse à coups de pierres vers tes champs, car je suis le plus fort."
81,Calmness,"Ma vigueur est encore entière, et les prétendants ne me mépriseront plus"
82,Calmness,ttendons au matin et jusqu'à ce que le héros Atréide Ménélaos illustre par sa lance ait placé ses présents dans le char et t'ait renvoyé avec des paroles amies
83,Angry,Je m'irrite également contre un homme qui aime ses hôtes outre mesure ou qui les hait
84,Fear,"et je crains, ou de périr en cherchant mon divin père, ou, loin de mes demeures, de perdre mes richesses"
85,Joy,De tous mes trésors qui sont enfermés dans ma demeure je te donnerai le plus beau et le plus précieux
86,Joy,"Et moi aussi, cher enfant, je te ferai ce présent,"
87,Joy,e puisse dire avec quelle amitié tu m'as reçu
88,Fear,"Ô divin, ne me conduis pas plus loin que ma nef, mais laisse-moi ici, de peur que le vieillard me retienne malgré moi dans sa demeure,"
89,Angry,"Et, certes, il sera très irrité"
90,Fear,"Laisse-moi monter sur ta nef, puisque je viens en suppliant, de peur qu'ils me tuent, car je pense qu'ils me poursuivent"
91,Calmness,Suis-moi ; nous t'accueillerons avec amitié et de notre mieux
92,Angry,"Hélas ! mon hôte, quel dessein a conçu ton esprit"
93,Angry,"Certes, si tu désires te mêler à la foule des prétendants, c'est que tu veux périr"
94,Calmness,"Plaise aux dieux, Eumaios, que tu sois aussi cher au père Zeus qu'à moi, puisque tu as mis fin à mes courses errantes et à mes peines"
95,Sadness,et la mort de celle-ci l'accable surtout de tristesse et lui fait sentir l'horreur de la vieillesse
96,Sadness,"Elle est morte d'une mort lamentable par le regret de son illustre fils. Ainsi, bientôt, mourra ici quiconque m'a aimé. Aussi longtemps qu'elle a vécu, malgré sa douleur, elle aimait à me questionner et à m'interroger"
97,Calmness,"Etranger, puisque tu m'interroges sur ces choses, écoute en silence et réjouis-toi de boire ce vin en repos."
98,Joy,Je me glorifie d'être de Sidôn riche en airain
99,Angry,"Maintenant, qu'aucun de vous, me rencontrant, soit dans la rue, soit à la fontaine, ne me parle, de peur qu'on le dise au vieillard ; car, me soupçonnant, il me chargerait de liens et méditerait votre mort"
100,Sadness,"et je restai seul, gémissant dans mon coeur."
101,Sadness,tu as profondément ému mon coeur en me racontant toutes les douleurs que tu as déjà subies
102,Joy,"je vous offrirai, pour ce voyage, un bon repas de viandes et de vin doux"
103,Joy,"Plaise aux dieux, étranger, que ta parole s'accomplisse"
104,Disgust,"Nausikaa, pourquoi ta mère t'a-t-elle enfantée si négligente ?"
105,Angry,"Allons donc laver tes robes, au premier lever du jour, et je te suivrai et t'aiderai, afin que nous finissions promptement, car tu ne seras plus longtemps vierge. Déjà les premiers du peuple te recherchent, parmi tous les Phaiakiens d'où sort ta race. Allons !"
106,Calmness,"Je ne te refuserai, mon enfant, ni des mulets, ni autre chose. Va, et mes serviteurs te prépareront un char large et élevé propre à porter une charge."
107,Fear,Hélas ! à quels hommes appartient cette terre où je suis venu ?
108,Calmness,Je m'en assurerai et je verrai.
109,Sadness,"Ainsi je t'admire, Ô femme, et je suis stupéfait, et je tremble de saisir tes genoux, car je suis en proie à une grande douleur. Hier, après vingt jours, je me suis enfin échappé de la sombre mer. Pendant ce temps-là, les flots et les rapides tempêtes m'ont entraîné de l'île d'Ogygiè, et voici qu'un dieu m'a poussé ici, afin que j'y subisse encore peut-être d'autres maux, car je ne pense pas en avoir vu la fin, et les dieux vont sans doute m'en accabler de nouveau. Mais, ô reine, aie pitié de moi, car c'est vers toi, la première, que je suis venu, après avoir subi tant de misères."
